FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	BACK_TO_EVENT_VIEW	Back to Event view	Retour à l'écran Evénement	Volver a la vista del evento	Kembali ke tampilan Peristiwa	ត្រលប់​ទៅ​ទំព័រ​មើល​ព្រឹត្តិការណ៍​វិញ	رجوع إلى عرض الحدث	Olay sayfasına geri dön	Tagasi Sündmuste vaatele	Назад к просмотру события	დააბრუნეთ უკან, რათა იხილოთ  შემთხვევა	Vissza az esemény nézethez	Torna alla visualizzazione degli Eventi	Nazad na pregled događaja	返回到事件显示模式	zurück zur Ereignisansicht
PHP	BACK_TO_PERSON_VIEW	Back to Person view	Retour à l'écran Personne	Volver a la vista de la persona	Kembali ke tampilan Orang	ត្រឡប់​ទៅ​បើកមើល​បុគ្គល​វិញ	رجوع إلى عرض الشخص	Kişi sayfasına geri dön	Tagasi Isiku vaatele	Назад к просмотру человека	დააბრუნეთ უკან, რათა იხილოთ პირი	Vissza a személy nézethez	Torna alla visualizzazione della Persona	Nazad na pregled osoba	返回到人士显示模式	zurück zu Personenansicht
PHP	BASIC	Basic	Basique	Básico	Sederhana	ធម្មតា	أساسي	Temel	Liht	Обычный	ბაზისური	Egyszerű	Di base	Osnovno	基本	grundlegend
PHP	BASIC_SEARCH	Basic search	Recherche de base	Búsqueda sencilla	Pencarian Sederhana	ការ​ស្វែង​រក​ធម្មតា	بحث أساسي	Temel arama	Lihtotsing	Обычный поиск	ბაზისური ძიება	Egyszerű keresés	Ricerca di base	Osnovna pretraga	基本搜索	grundlegende Suche
JS	BEFORE	before	avant	antes de	Sebelum	មុន	قبل	Önce	enne	до	მანამდე	előtt	prima	Pre	之前	davor
PHP	BIOGRAPHIC_DETAIL_S_	Biographic Details	Détails biographiques	Detalles biográficos	Riwayat Hidup	ជីវប្រវត្តិ​លំអិត	التفاصيل الذاتية	Biyografik Detay(lar)	Elulooline/-sed üksikasi/-jad	Биографические данные	ბიოგრაფიული დეტალები	Életrajzi adatok  	Dettagli Biografici	Biografski podaci	出身背景信息	bigraphische Details
PHP	BIOGRAPHIC_DETAILS	Biographic Details	Détails biographiques	Detalles biográficos	Riwayat Hidup	ជីវប្រវត្តិ​លំអិត	التفاصيل الذاتية	Biyografik Detaylar	Eluloolised üksikasjad	Биографические данные	ბიოგრაფიული დეტალები	Életrajzi adatok	Dettagli Biografici	Biografski podaci	出身背景信息	biographische Details
PHP	BIOGRAPHIC_DETAILS__	Biographic Details.	Détails biographiques	Detalles biográficos	Riwayat Hidup.	ជីវប្រវត្តិ​លំអិត	التفاصيل الذاتية	Biyografik detaylar	Eluloolised üksikasjad	Биографические данные.	ბიოგრაფიული დეტალები.	Életrajzi adatok	Dettagli Biografici	Biografski podaci	出身背景信息	biographische Details
PHP	BIOGRAPHY_DETAIL_S_	Biography Details	Détails biographiques	Detalles biográficos	Riwayat Hidup	ជីវ​ប្រវត្តិ​លំអិត	تفاصيل سيرة ذاتية	Biyografi Detay(ları)	Eluloo üksikasi/-jad	Биографические данные	ბიოგრაფიული დეტალები	Életrajzi adatok	Dettagli Biografia	Biografski podaci	出身背景信息	biographische Details
PHP	BROWSE_DOCUMENTS	Browse Documents	Parcourir les Documents	Revisar los documentos	Telusuri Dokumen	ពិនិត្យ​មើល​ឯកសារ	استعراض الوثائق	Belgelere Gözat	Sirvi Dokumente	Выбрать документ(ы)	დოკუმენტების არჩევა	Keresés a dokumentmokban	Cerca fra i Documenti	Pretraži dokument	游览文件	Dokumente durchsuchen
PHP	BROWSE_EVENT	Browse Event	Parcourir l'Evénement	Revisar el evento	Telusuri Peristiwa	មើល​បញ្ជី​ព្រឹត្តិការណ៍	استعراض الحدث	Olaya Gözat	Sirvi Sündmust	Выбрать событие	შემთხვევის არჩევა	Keresés az eseményben	Cerca Evento	Pretraži događaj	游览事件	Ereignis durchsuchen
PHP	BROWSE_EVENTS	Browse Events	Parcourir les Evénements	Revisar los eventos	Telusuri Peristiwa	មើល​បញ្ជី​ព្រឹត្តិការណ៍	استعراض الأحداث	Olaylara Gözat	Sirvi Sündmusi	Выбрать события	შემთხვევების არჩევა	Keresés az eseményekben	Cerca fra gli Eventi	Pretraži događaje	游览多项事件	Ereignisse durchsuchen
PHP	BROWSE_PERSONS	Browse Persons	Parcourir les Personnes	Revisar las personas	Telusuri Orang	បើក​មើល​បញ្ជី​បុគ្គល	استعراض الأشخاص	Kişilere Gözat	Sirvi Isikuid	Выбрать человека (людей)	პირების არჩევა	Keresés a személyekben	Cerca fra Persone	Pretraži osobe	游览多名人士	Personen durchsuchen
PHP	BY_WHOM	By whom	Par qui ?	Vinculado por	Oleh siapa	ដោយ​អ្នក​ណា	من قبل من	Kim tarafından	Kelle poolt	Кем	ვისგან	Ki által	Da chi	Od strane koga	由谁	von wem
PHP	CANCEL	Cancel	Annuler	Cancelar	Batal	ចាកចេញ	إلغاء	İptal	Tühista	Отменить	გაუქმება	Mégse	Cancellare	Odustani	取消	abbrechen
PHP	CELLULAR	Cellular	Mobile	Teléfono móvil	Selular	ទូរស័ព្ទ​ដៃ	هاتف خلوي	Hücresel	Mobiilne	Мобильный телефон	მობილური	Sejtes	Cellulare	Mobilni	格状	cellular
PHP	CHAIN_OF_EVENT	Chain of Events	Chaîne d'événements	Cadena de eventos	Rangkaian Peristiwa	ចង្វាក់​ព្រឹត្តិការណ៍	سلسلة الحدث	Olaylar Zinciri	Sündmuse ahel	Цепочка событий	შემთხვევათა თანამიმდევრობა	Eseménysorozat  	Serie di Eventi	Lanac događaja	事件链	Ereigniskette
PHP	CHAIN_OF_EVENT_S_	Chain of Events	Chaîne d'événements	Cadena de eventos	Rangkaian Peristiwa	ចង្វាក់​ព្រឹត្តិការណ៍	سلسلة الحدث (الأحداث)	Olaylar Zinciri	Sündmus(t)e ahel	Цепочка событий	შემთხვევათა თანამიმდევრობა	Eseménysorozat	Serie di Eventi	Lanac događaja	事件链	Ereigniskette
PHP	CHAIN_OF_EVENTS	Chain of Events	Chaîne d'événements	Cadena de eventos	Rangkaian Peristiwa	ចង្វាក់​ព្រឹត្តិការណ៍	سلسلة الأحداث	Olaylar Zinciri	Sündmuste ahel	Цепочка событий	შემთხვევათა თანამიმდევრობა	Eseménysorozat	Serie di Eventi	Lanac događaja	事件链	Ereigniskette
PHP	CHAIN_OF_EVENTS_DOES_NOT_EXIST	Chain of Events does not exist	Cette Chaîne d'événements n'existe pas	No existe registro de la cadena de eventos solicitada	Rangkaian Peristiwa tidak tersedia	មិន​មាន​ចង្វាក់​ព្រឹត្តិការណ៍ទេ	سلسلة الأحداث غير موجودة	Olaylar Zinciri bulunmuyor.	Sündmuste ahel ei eksisteeri	Цепочка событий не существует	შემთხვევათა თანამიმდევრობა არ არსებობს	Eseménysorozat nem létezik	La Serie di Eventi non esiste	Lanac događaja ne postoji	事件链不存在	Ereigniskette existiert nicht
PHP	CHANE_OF_EVENTS	Chain of Events	Chaîne d'événements	Cadena de eventos	Rangkaian Peristiwa	ចង្វាក់​ព្រឹត្តិការណ៍	سلسلة الأحداث	Olaylar Zinciri	Sündmuste ahel	Цепочка событий	შემთხვევათა თანამიმდევრობა	Eseménysorozat	Serie di Eventi	Lanac događaja	事件链	Ereigniskette
PHP	CHANE_OF_EVENTS_	Chain of Events	Chaîne d'événements	Cadena de eventos	Rangkaian Peristiwa	Chain of Events	سلسلة الأحداث	Olaylar Zinciri	Sündmuste ahel	Цепочка событий	შემთხვევათა თანამიმდევრობა	Eseménysorozat	Serie di Eventi	Lanac događaja	事件链	Ereigniskette
PHP	CHANGE	Change	Changer	Cambiar	Ubah	ប្តូរ	تغيير	Değiştir	Muuda	Изменить	ცვლილება	Módosítás	Modificare	Promeni	更改	ändern
PHP	CHANGE_ADDITIONAL_DETAIL_TYPE	Change Additional Detail type	Changer le type des Détails supplémentaires	Cambiar el tipo de detalle adicional	Ganti tipe Rincian Tambahan	ផ្លាស់​ប្តូរ​ប្រភេទ​ពត៌មាន​លំអិត​បន្ថែម	تغيير نوع التفاصيل الإضافية	Ek Bilgi Türünü değiştir	Muuda Täiendava üksikasja tüüpi	Изменить тип дополнительных данных	შეცვალეთ დამატებითი დეტალის ტიპი	Egyéb részlet típus módosítása	Modificare tipo di Dettaglio Aggiuntivo	Promeni vrstu dodatnih podataka	更改“更多详情”类型	zusätzliche Typdetails ändern
PHP	CHANGE_PASSWORD	Change password	Changer le mot de passe	Cambiar la contraseña	Ganti kata sandi	ប្តូរ​លេខ​សំងាត់	تغيير كلمة المرور	Şifreyi değiştir	Muuda parool	Изменить пароль	შეცვალეთ პაროლი	Jelszó változtatás	Modificare password	Promeni lozinku	更改密码	Passwort ändern
PHP	CHANGE_VIEW__	Change View:	Changer de Vue :	Cambiar la vista:	Ubah tampilan:	ប្តូររបៀប​បើក​មើល	تغييرالعرض:	Görüntüyü değiştir:	Muuda vaade	Изменить просмотр	შეცვალეთ ხედი :	Nézet módosítás:	Modificare Visualizzazione:	Promeni pregled	更改显示模式	Ansicht ändern
PHP	CHOOSE_AN_ACTION	Choose an action	Choisir une action	Seleccione una acción	Pilih tindakan	ជ្រើសរើស​សកម្ម​ភាព	اختيار تصرف-أداء	Bir işlem seçin	Vali tegevus	Выберите действие	აირჩიეთ მოქმედება	Válassz egy akciót	Scegliere un'azione	Izaberi akciju	选择一项操作	wähle ein Aktion
PHP	CHOOSE_FILE_UPLOAD	Choose File Upload	Choisissez le chargement du fichier	Elegir la carga de archivos	Pilih file yang akan diunggah	Choose File Upload	اختيار رفع(تحميل) الملف	Yüklenecek dosyayı seçin	Vali Faili üleslaadimine	Выберите файл для загрузки	აირჩიეთ  ფაილის ჩატვირთვა	Feltöltendő fájl kiválasztása	Scegliere Caricamento di File	Izaberi otpremanje podataka	选择文档上传	wähle Datei hochladen
PHP	CHOSE_STARTING_POINT	Chose starting point	Choisir un point de départ	Seleccionar punto de partida	Pilih titik awal	ធ្វើ​ការ​ជ្រើស​រើស​ចំនុច​ចាប់​ផ្តើម	اختيار نقطة البدء	Başlangıç noktası belirleyin	Vali alguspunkt	Выберите начальную точку	აირჩიეთ საწყისი წერტილი	Kezdőpont választása	Punto di partenza scelto	Izaberi početnu tačku	选择起点	wähle Anfangspunkt
JS	CLARIFY	Clarify	Clarifier	Explicar	Klarifikasi	បញ្ជាក់​បន្ថែម	توضيح	Açıklama	Täpsusta	Пояснить	დააზუსტეთ	Magyarázat	Specificare	Pojasni	说明	erkläre
PHP	CLARIFYING_NOTE	Clarifying Note	Note de clarification	Nota aclaratoria	Catatan Klarifikasi	កំណត់​ត្រា​បញ្ជាក់​បន្ថែម	ملاحظة توضيحية	Açıklama notu	Täpsustav märkus	Поясняющая заметка	შენიშვნა	Magyarázó megjegyzés	Nota esplicativa	Napomena za pojašnjenje	注解说明	erklärende Notiz
PHP	CLARIFYING_NOTES	Clarifying Notes	Notes de clarification	Notas aclaratorias	Catatan Klarifikasi	កំណត់​ត្រា​បញ្ជាក់​បន្ថែម	ملاحظات توضيحية	Açıklama notları	Täpsustavad märkused	Поясняющие заметки	შენიშვნები	Magyarázó megjegyzések	Note esplicative	Napomene za pojašnjenje	更多注解说明	erklärende Notizen
PHP	CLEAR	Clear	Effacer	Despejar	Bersihkan	លុប​ចោល	مسح	Temizle	Tühjenda	Очистить	დაზუსტებული	Törlés	Chiarire 	Izbriši	清除	bereinigen/ eindeutig
PHP	CLICK_TO_DOWNLOAD_EVENTS_XML_FILE_OF_ALL_RECORDS_IN_THIS_OPENEVSYS_	Click to download Events XML file of all records in this OpenEvSys.	Cliquez ici pour télécharger le fichier XML des événements de tous les enregistrements dans ce OpenEvSys.	Haga clic aquí para descargar un archivo en formato XML de todos los registros de eventos en este OpenEvSys	Klik untuk mengunduh semua catatan dalam bentuk XML	ចុចទីនេះដើម្បី​ទាញ​ព្រឹត្តិការណ៍ក្នុង​ទំរង់XMLទាំង​អស់​ក្នុង​អូផែន​អែវស៊ីស​មក​រក្សាទុក	انقر  لتحميل ملف  Events XMLلكافة السجلات في OpenEvSys	Bu veritabanındaki tüm kayıtları içeren Olaylar XML dosyasını indirmek için tıklayın.	Kliki et alla laadida Sündmuste XML fail OpenEvSys kõikidest kirjetest.	Нажмите, чтобы загрузить файл событий XML, содержащий все записи в этой OpenEvSys.	დააკლიკეთ შემთხვევათა ჩამოსატვირთად ყველა ჩანაწერის XML ფაილი  OpenEvSys.-ში	Kattintsaz OpenEvSysben szereplő minden bejegyzésének letöltéséhez  Események XML fájlként	Clicca per scaricare il file Eventi XML di tutti le registrazioni in questo OpenEvSys	Klikni da preuzmeš XML fajl Događaji za sve beleške u ovom OpenEvSys	点击下载OpenEvSys里所有事件纪录的XML文件	Klicken zum Herunterladen der XML Ereignisse Dateien aller Einträge in diesem OpenEvSys.
JS	CLICK_TO_SELECT_AN_OPTION	Click to select an option	Cliquer pour sélectionner une option	Haga clic para seleccionar una opción	Klik untuk memilih pilihan	ចុច​ដើម្បី​ជ្រើស​​យក​ជំរើស	انقر لاختيار خيار	Seçenekler için tıklayın	Vajuta et valida suvand	Нажмите, чтобы выбрать вариант	დააკლიკეთ, რათა შეარჩიოთ ვარიანტი	Válassz egy opciót	Clicca per selezionare un'opzione	Klikni da izabereš opciju	点击选择一个选项	klicken um eine Option zu wählen
